offender_id,name,alias,age,gender,district_of_origin,education,occupation,known_associates,prior_convictions,gang_affiliation,status,aadhar_linked,risk_score,district_of_origin_id,education_id,occupation_id,gang_id,offender_status_id,birth_year
1,Suresh Menon,Dagger-04,21,Male,Belagavi,Illiterate,Labourer,,3,None,Acquitted,0,0.23,6,2,7,3,2,2004
2,Priya Kumar,Fang-97,28,Male,Ballari,Illiterate,Unemployed,,3,None,Convicted,0,0.53,9,2,12,3,5,1997
3,Kumar Khan,Grit-89,35,Male,Udupi,Post-Graduate,Unknown,,7,None,Absconding,0,0.3,12,3,13,3,1,1989
4,Deepa Naik,Jade-83,42,Male,Ballari,Post-Graduate,Labourer,,0,Organized Crime,Arrested,1,0.16,9,3,7,4,3,1983
5,Sanjay Reddy,Lantern-75,50,Male,Hassan,Illiterate,Trader,,8,None,Bail,1,0.7,10,2,11,3,4,1975
6,Sanjay Sharma,Monsoon-69,56,Male,Bengaluru Rural,Illiterate,Trader,,1,None,Acquitted,1,0.56,2,2,11,3,2,1969
7,Rekha Kumar,Panther-61,64,Male,Ballari,Secondary,Student,,8,None,Juvenile,0,0.94,9,5,10,3,6,1961
8,Sunita Reddy,Scorch-54,71,Male,Hassan,Primary,Unknown,,5,None,Juvenile,0,0.55,10,4,13,3,6,1954
9,Mohan Pillai,Zenith-08,17,Male,Mysuru,Secondary,Labourer,,7,Organized Crime,Juvenile,0,0.6,3,5,7,4,6,2008
10,Rekha Sharma,Blackout-03,20,Male,Kalaburagi,Primary,Unemployed,,4,None,Arrested,0,0.29,7,4,12,3,3,2003
11,Meera Raju,Copper-96,27,Male,Tumakuru,Primary,Farmer,,2,Local Gang,Arrested,1,0.76,4,4,3,2,3,1996
12,Shiva Menon,Domino-88,36,Male,Bengaluru Rural,Graduate,Farmer,,0,Local Gang,Absconding,1,0.83,2,1,3,2,1,1988
13,Krishna Hegde,Flint-80,45,Male,Bengaluru Rural,Secondary,Driver,,8,Local Gang,Juvenile,0,0.95,2,5,2,2,6,1980
