victim_id,name,age,gender,occupation,district,repeat_victim,vulnerability_index,district_id,occupation_id
1,Sunita Hegde,20,Male,Student,Belagavi,0,0.97,6,10
2,Krishna Murthy,35,Female,Retired,Kalaburagi,0,0.5,7,9
3,Nandini Singh,37,Male,Government Employee,Bengaluru Rural,1,0.52,2,4
4,Patel Raju,46,Male,Retired,Dharwad,0,0.58,8,9
5,Shiva Fernandes,40,Male,Private Employee,Ballari,0,0.14,9,8
6,Meera D'Souza,71,Female,Government Employee,Belagavi,0,0.82,6,4
7,Sanjay Fernandes,27,Female,Farmer,Udupi,0,0.79,12,3
8,Kavita Raju,36,Male,Student,Bengaluru Rural,1,0.19,2,10
9,Meera Hegde,25,Female,Government Employee,Tumakuru,1,0.66,4,4
10,Joseph Rao,27,Female,Business,Udupi,0,0.18,12,1
11,Joseph Pillai,43,Female,Housewife,Bengaluru Rural,0,0.33,2,5
12,Imran Fernandes,33,Female,Government Employee,Kalaburagi,0,0.7,7,4
13,Kumar Kumar,39,Male,Student,Kalaburagi,0,1,7,10
14,Kumar Fernandes,22,Male,Farmer,Hassan,0,0.68,10,3
15,Ganesh D'Souza,26,Male,Business,Dharwad,0,0.19,8,1
16,Patel Nair,27,Female,Student,Dharwad,1,0.68,8,10
17,Sanjay Nair,72,Male,Private Employee,Kalaburagi,0,0.56,7,8
18,Lakshmi D'Souza,66,Male,Business,Ballari,0,0.45,9,1
19,Arun Swamy,46,Female,Private Employee,Belagavi,0,0.46,6,8
20,Meera Raju,33,Female,Private Employee,Bengaluru Rural,0,0.78,2,8
21,Kumar Raju,21,Male,Retired,Shivamogga,0,0.73,11,9
22,Maria Singh,71,Male,Labour,Udupi,0,0.13,12,6
23,Lakshmi Khan,13,Male,Government Employee,Dharwad,0,0.85,8,4
24,Suresh Patel,31,Male,Student,Kalaburagi,1,0.83,7,10
25,Joseph Raju,45,Male,Farmer,Bengaluru Rural,1,0.23,2,3
26,Shameer Naik,46,Male,Housewife,Bengaluru Urban,0,0.14,1,5
27,Arun Fernandes,30,Female,Business,Bengaluru Rural,1,0.64,2,1
28,Shiva Rao,33,Male,Retired,Belagavi,1,0.72,6,9
29,Krishna Rao,41,Female,Housewife,Belagavi,1,0.35,6,5
30,Maria Singh,36,Female,Labour,Tumakuru,0,0.14,4,6
31,Shameer Khan,28,Female,Student,Dharwad,1,0.11,8,10
32,Imran Swamy,73,Female,Retired,Udupi,0,0.8,12,9
