EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,1,3,2,1,KGID-00001,OFF-A,1979-02-02,1,2,0,2003-05-15
2,1,3,3,2,KGID-00002,OFF-B,1984-03-03,1,3,0,2004-06-15
3,1,3,4,3,KGID-00003,OFF-C,1989-04-04,2,4,0,2005-07-15
4,1,4,2,1,KGID-00004,OFF-D,1994-05-05,1,5,0,2006-08-15
5,1,4,3,2,KGID-00005,OFF-E,1975-06-06,1,6,0,2007-09-15
6,1,4,4,3,KGID-00006,OFF-F,1980-07-07,2,7,0,2008-10-15
7,1,5,2,1,KGID-00007,OFF-G,1985-08-08,1,8,0,2009-11-15
8,1,5,3,2,KGID-00008,OFF-H,1990-09-09,1,1,0,2010-12-15
9,1,5,4,3,KGID-00009,OFF-I,1995-10-10,2,2,0,2011-01-15
10,1,6,2,1,KGID-00010,OFF-J,1976-11-11,1,3,0,2012-02-15
11,1,6,3,2,KGID-00011,OFF-K,1981-12-12,1,4,0,2013-03-15
12,1,6,4,3,KGID-00012,OFF-L,1986-01-13,2,5,0,2014-04-15
13,1,7,2,1,KGID-00013,OFF-M,1991-02-14,1,6,0,2015-05-15
14,1,7,3,2,KGID-00014,OFF-N,1996-03-15,1,7,0,2016-06-15
15,1,7,4,3,KGID-00015,OFF-O,1977-04-16,2,8,0,2017-07-15
16,1,8,2,1,KGID-00016,OFF-P,1982-05-17,1,1,0,2018-08-15
17,1,8,3,2,KGID-00017,OFF-Q,1987-06-18,1,2,0,2019-09-15
18,1,8,4,3,KGID-00018,OFF-R,1992-07-19,2,3,0,2002-10-15
19,2,10,2,1,KGID-00019,OFF-S,1997-08-20,1,4,0,2003-11-15
20,2,10,3,2,KGID-00020,OFF-T,1978-09-21,1,5,0,2004-12-15
21,2,10,4,3,KGID-00021,OFF-U,1983-10-22,2,6,0,2005-01-15
22,2,11,2,1,KGID-00022,OFF-V,1988-11-23,1,7,0,2006-02-15
23,2,11,3,2,KGID-00023,OFF-W,1993-12-24,1,8,0,2007-03-15
24,2,11,4,3,KGID-00024,OFF-X,1974-01-25,2,1,0,2008-04-15
25,2,12,2,1,KGID-00025,OFF-Y,1979-02-26,1,2,0,2009-05-15
26,2,12,3,2,KGID-00026,OFF-Z,1984-03-27,1,3,0,2010-06-15
27,2,12,4,3,KGID-00027,OFF-AA,1989-04-01,2,4,0,2011-07-15
