offender_id,name,alias,age,gender,district_of_origin,education,occupation,prior_convictions,gang_affiliation,status,risk_score
1,Suresh Menon,Dagger-04,21,Male,Belagavi,Illiterate,Labourer,3,None,Acquitted,0.23
2,Priya Kumar,Fang-97,28,Male,Ballari,Illiterate,Unemployed,3,None,Convicted,0.53
3,Kumar Khan,Grit-89,35,Male,Udupi,Post-Graduate,Unknown,7,None,Absconding,0.3
4,Deepa Naik,Jade-83,42,Male,Ballari,Post-Graduate,Labourer,0,Organized Crime,Arrested,0.16
5,Sanjay Reddy,Lantern-75,50,Male,Hassan,Illiterate,Trader,8,None,Bail,0.7
6,Sanjay Sharma,Monsoon-69,56,Male,Bengaluru Rural,Illiterate,Trader,1,None,Acquitted,0.56
7,Rekha Kumar,Panther-61,64,Male,Ballari,Secondary,Student,8,None,Juvenile,0.94
8,Sunita Reddy,Scorch-54,71,Male,Hassan,Primary,Unknown,5,None,Juvenile,0.55
9,Mohan Pillai,Zenith-08,17,Male,Mysuru,Secondary,Labourer,7,Organized Crime,Juvenile,0.6
10,Rekha Sharma,Blackout-03,20,Male,Kalaburagi,Primary,Unemployed,4,None,Arrested,0.29
11,Meera Raju,Copper-96,27,Male,Tumakuru,Primary,Farmer,2,Local Gang,Arrested,0.76
12,Shiva Menon,Domino-88,36,Male,Bengaluru Rural,Graduate,Farmer,0,Local Gang,Absconding,0.83
13,Krishna Hegde,Flint-80,45,Male,Bengaluru Rural,Secondary,Driver,8,Local Gang,Juvenile,0.95
14,Kumar Swamy,Harbor-73,52,Male,Udupi,Secondary,Trader,8,None,Convicted,0.33
15,Pooja Raju,Kite-66,59,Male,Shivamogga,Secondary,Student,5,Drug Cartel,Arrested,0.56
16,Sanjay Shetty,Magnet-59,66,Male,Kalaburagi,Primary,Student,4,Local Gang,Acquitted,0.37
17,Nandini Iyer,Nimbus-52,73,Male,Tumakuru,Post-Graduate,Trader,2,Drug Cartel,Arrested,0.56
18,Mohan Hegde,Valor-09,16,Male,Bengaluru Urban,Primary,Trader,1,Local Gang,Convicted,0.75
19,Priya Sharma,Anchor-02,23,Male,Udupi,Post-Graduate,Trader,0,Organized Crime,Absconding,0.51
20,Deepa Iyer,Dagger-01,21,Female,Kalaburagi,Post-Graduate,Trader,2,Drug Cartel,Convicted,0.33
21,Sunita Prasad,Blackout-85,40,Male,Udupi,Secondary,Labourer,4,None,Bail,0.22
22,Vijay Rao,Diesel-80,44,Male,Kalaburagi,Illiterate,Labourer,6,Local Gang,Acquitted,0.87
23,Lakshmi Gowda,Flint-73,51,Male,Udupi,Post-Graduate,Farmer,3,Local Gang,Absconding,0.49
24,Joseph Menon,Grit-64,61,Female,Hassan,Post-Graduate,Unemployed,6,Organized Crime,Acquitted,0.18
25,Kumar Naik,Indigo-57,68,Male,Belagavi,Graduate,Driver,6,None,Arrested,0.12
26,Priya Pillai,Monsoon-55,69,Female,Tumakuru,Illiterate,Student,2,None,Absconding,0.7
27,Girish Nair,Ranger-04,21,Male,Udupi,Illiterate,Farmer,2,None,Arrested,0.94
28,Sanjay Rao,Zenith-05,20,Male,Dakshina Kannada,Post-Graduate,Farmer,1,Organized Crime,Arrested,0.58
29,Pooja Pillai,Titan-90,35,Male,Belagavi,Graduate,Unknown,2,Local Gang,Absconding,0.65
30,Lakshmi Fernandes,Zenith-83,42,Female,Bengaluru Rural,Secondary,Trader,3,Local Gang,Acquitted,0.4
31,Kumar Murthy,Beacon-76,49,Male,Hassan,Secondary,Student,0,Organized Crime,Absconding,0.32
32,Ganesh Hegde,Diesel-73,52,Male,Bengaluru Rural,Secondary,Labourer,6,Drug Cartel,Absconding,0.7
33,Pooja Singh,Diesel-62,63,Male,Dakshina Kannada,Secondary,Driver,3,None,Juvenile,0.38
34,Rajesh Rao,Flint-55,70,Male,Ballari,Post-Graduate,Driver,1,None,Bail,0.42
35,Deepa Sharma,Nimbus-60,65,Male,Mysuru,Graduate,Unemployed,0,Organized Crime,Bail,0.53
36,Sunita Murthy,Knox-02,23,Male,Shivamogga,Illiterate,Labourer,2,Organized Crime,Bail,0.99
37,Ramesh Iyer,Orion-95,30,Male,Dharwad,Secondary,Farmer,6,None,Acquitted,0.65
38,Imran Rao,Talon-93,32,Male,Ballari,Illiterate,Labourer,0,Local Gang,Convicted,0.36
39,Anita Fernandes,Wolf-86,39,Male,Shivamogga,Post-Graduate,Unknown,3,Local Gang,Arrested,0.68
40,Mohan Naik,Vortex-74,51,Female,Dakshina Kannada,Graduate,Unemployed,7,Drug Cartel,Bail,0.95
41,Girish Kumar,Ash-67,58,Male,Dakshina Kannada,Illiterate,Unemployed,3,Drug Cartel,Acquitted,1
42,Nandini Naik,Blackout-60,65,Male,Dakshina Kannada,Primary,Student,6,Drug Cartel,Convicted,0.52
43,Joseph Reddy,Eclipse-57,67,Male,Dakshina Kannada,Graduate,Farmer,8,None,Convicted,0.38
44,Sanjay Prasad,Grit-50,74,Male,Tumakuru,Post-Graduate,Driver,7,Drug Cartel,Convicted,0.28
