victim_id,name,age,gender,occupation,district,repeat_victim,vulnerability_index
1,Sunita Hegde,20,Male,Student,Belagavi,false,0.97
2,Krishna Murthy,35,Female,Retired,Kalaburagi,false,0.5
3,Nandini Singh,37,Male,Government Employee,Bengaluru Rural,true,0.52
4,Patel Raju,46,Male,Retired,Dharwad,false,0.58
5,Shiva Fernandes,40,Male,Private Employee,Ballari,false,0.14
6,Meera D'Souza,71,Female,Government Employee,Belagavi,false,0.82
7,Sanjay Fernandes,27,Female,Farmer,Udupi,false,0.79
8,Kavita Raju,36,Male,Student,Bengaluru Rural,true,0.19
9,Meera Hegde,25,Female,Government Employee,Tumakuru,true,0.66
10,Joseph Rao,27,Female,Business,Udupi,false,0.18
11,Joseph Pillai,43,Female,Housewife,Bengaluru Rural,false,0.33
12,Imran Fernandes,33,Female,Government Employee,Kalaburagi,false,0.7
13,Kumar Kumar,39,Male,Student,Kalaburagi,false,1
14,Kumar Fernandes,22,Male,Farmer,Hassan,false,0.68
15,Ganesh D'Souza,26,Male,Business,Dharwad,false,0.19
16,Patel Nair,27,Female,Student,Dharwad,true,0.68
17,Sanjay Nair,72,Male,Private Employee,Kalaburagi,false,0.56
18,Lakshmi D'Souza,66,Male,Business,Ballari,false,0.45
19,Arun Swamy,46,Female,Private Employee,Belagavi,false,0.46
20,Meera Raju,33,Female,Private Employee,Bengaluru Rural,false,0.78
21,Kumar Raju,21,Male,Retired,Shivamogga,false,0.73
22,Maria Singh,71,Male,Labour,Udupi,false,0.13
23,Lakshmi Khan,13,Male,Government Employee,Dharwad,false,0.85
24,Suresh Patel,31,Male,Student,Kalaburagi,true,0.83
25,Joseph Raju,45,Male,Farmer,Bengaluru Rural,true,0.23
26,Shameer Naik,46,Male,Housewife,Bengaluru Urban,false,0.14
27,Arun Fernandes,30,Female,Business,Bengaluru Rural,true,0.64
28,Shiva Rao,33,Male,Retired,Belagavi,true,0.72
29,Krishna Rao,41,Female,Housewife,Belagavi,true,0.35
30,Maria Singh,36,Female,Labour,Tumakuru,false,0.14
31,Shameer Khan,28,Female,Student,Dharwad,true,0.11
32,Imran Swamy,73,Female,Retired,Udupi,false,0.8
33,Vijay Pillai,37,Male,Labour,Kalaburagi,false,0.26
34,Kumar Murthy,50,Female,Business,Shivamogga,false,0.37
35,Priya Rao,48,Male,Business,Hassan,false,0.79
36,Girish Pillai,38,Female,Government Employee,Bengaluru Urban,false,0.82
37,Lakshmi Patil,46,Male,Student,Bengaluru Urban,false,0.36
38,Shameer Fernandes,41,Male,Student,Ballari,false,0.81
39,Mohan Hegde,34,Female,Private Employee,Kalaburagi,false,0.71
40,Arun Patel,30,Male,Farmer,Udupi,false,0.28
41,Lakshmi Swamy,53,Male,Retired,Mysuru,false,0.65
42,Vijay Fernandes,23,Female,Private Employee,Dakshina Kannada,false,0.21
43,Sunita Sharma,32,Male,Labour,Dharwad,false,0.78
44,Shameer Patil,22,Female,Housewife,Hassan,false,0.87
45,Lakshmi Rao,26,Female,Labour,Dakshina Kannada,true,0.49
46,Kavita D'Souza,58,Female,Housewife,Hassan,false,0.48
47,Patel Prasad,25,Male,Retired,Dharwad,false,0.73
48,Priya Kumar,25,Female,Student,Udupi,false,0.95
49,Priya Pillai,22,Other,Student,Dharwad,false,0.25
50,Patel Swamy,49,Male,Labour,Dharwad,false,0.89
51,Imran Fernandes,42,Female,Student,Shivamogga,true,0.9
52,Anita D'Souza,18,Female,Farmer,Shivamogga,true,0.89
53,Pooja Menon,32,Male,Student,Bengaluru Rural,false,0.52
54,Kumar Pillai,23,Female,Business,Ballari,false,0.28
55,Deepa Reddy,58,Female,Farmer,Udupi,false,0.39
56,Joseph D'Souza,67,Male,Business,Belagavi,false,0.54
57,Lakshmi Raju,34,Female,Government Employee,Dharwad,false,0.82
58,Rajesh Fernandes,53,Male,Retired,Mysuru,false,0.96
59,Arun Sharma,22,Male,Farmer,Ballari,false,0.12
60,Vijay Murthy,48,Male,Labour,Udupi,false,0.36
61,Priya Prasad,30,Female,Retired,Hassan,false,0.68
62,Joseph Prasad,27,Female,Labour,Dharwad,false,0.22
63,Shiva Nair,36,Male,Private Employee,Dakshina Kannada,false,0.14
64,Kumar Iyer,25,Female,Government Employee,Mysuru,false,0.86
65,Kumar Hegde,35,Male,Private Employee,Hassan,true,0.33
66,Maria Naik,26,Female,Private Employee,Mysuru,false,0.59
67,Arun Gowda,22,Male,Labour,Mysuru,false,0.94
68,Deepa Prasad,29,Male,Government Employee,Dharwad,false,0.97
69,Joseph Sharma,49,Female,Labour,Belagavi,false,0.76
70,Joseph Raju,55,Male,Student,Kalaburagi,false,0.3
71,Suresh Iyer,23,Female,Farmer,Dakshina Kannada,false,0.18
72,Joseph Kumar,72,Other,Retired,Tumakuru,false,0.64
73,Joseph Singh,32,Male,Retired,Belagavi,false,0.11
74,Girish Raju,22,Male,Labour,Udupi,false,0.82
75,Patel D'Souza,30,Female,Retired,Mysuru,false,0.64
76,Lakshmi Prasad,22,Other,Business,Hassan,false,0.18
77,Ramesh Patil,39,Female,Housewife,Tumakuru,false,0.44
78,Krishna Shetty,32,Female,Government Employee,Dharwad,false,0.52
79,Vijay Nair,10,Male,Labour,Bengaluru Rural,false,0.9
80,Maria Pillai,46,Male,Business,Dakshina Kannada,false,0.97
81,Nandini Murthy,42,Female,Government Employee,Shivamogga,false,0.98
82,Pooja Swamy,62,Male,Government Employee,Mysuru,false,0.23
83,Meera Patil,35,Male,Private Employee,Kalaburagi,false,0.96
84,Pooja Pillai,22,Female,Farmer,Shivamogga,false,0.19
85,Kavita Patel,48,Female,Government Employee,Dakshina Kannada,false,0.72
86,Meera Sharma,27,Male,Government Employee,Belagavi,false,0.47
87,Arun Rao,56,Male,Farmer,Tumakuru,false,0.6
88,Anjali Raju,47,Female,Business,Kalaburagi,false,0.17
89,Lakshmi Singh,51,Male,Private Employee,Mysuru,false,0.9
90,Kumar Shetty,41,Male,Business,Tumakuru,true,0.72
91,Vijay Rao,40,Male,Business,Kalaburagi,false,0.81
92,Lakshmi D'Souza,30,Male,Business,Bengaluru Urban,false,0.56
93,Sunita Naik,19,Male,Student,Bengaluru Rural,false,0.93
94,Kumar Menon,21,Male,Business,Mysuru,false,0.95
95,Meera Patil,62,Female,Farmer,Ballari,false,0.19
96,Pooja Rao,31,Female,Government Employee,Mysuru,false,0.58
97,Rajesh Prasad,54,Female,Labour,Belagavi,false,0.27
98,Kumar Singh,34,Other,Retired,Tumakuru,false,0.47
99,Arun Fernandes,41,Male,Housewife,Dharwad,false,0.73
100,Mohan Patel,32,Male,Retired,Dakshina Kannada,false,0.76
101,Priya Raju,45,Male,Retired,Tumakuru,false,0.91
102,Meera Patil,72,Male,Labour,Shivamogga,true,0.49
103,Arun Sharma,33,Male,Business,Udupi,false,0.98
104,Kavita Rao,21,Female,Retired,Bengaluru Rural,false,0.48
105,Nandini Nair,49,Female,Retired,Belagavi,false,0.64
106,Pooja Nair,46,Male,Labour,Bengaluru Rural,true,0.54
107,Ravi Reddy,20,Female,Business,Dharwad,false,0.97
108,Vijay Shetty,41,Female,Business,Bengaluru Rural,false,0.57
109,Rajesh Shetty,45,Female,Labour,Ballari,false,0.41
110,Ravi Naik,68,Other,Business,Kalaburagi,false,0.87
111,Suresh Patil,32,Female,Government Employee,Udupi,false,0.49
112,Lakshmi Reddy,24,Female,Labour,Shivamogga,false,0.59
113,Anjali Patil,48,Female,Retired,Dakshina Kannada,false,0.97
114,Ganesh Shetty,42,Male,Student,Hassan,true,0.85
115,Nandini Gowda,29,Female,Private Employee,Kalaburagi,true,0.41
116,Suresh Menon,23,Male,Farmer,Shivamogga,false,0.18
117,Arun Patel,40,Male,Private Employee,Bengaluru Urban,false,0.88
118,Sunita Gowda,44,Female,Student,Belagavi,false,0.45
119,Arun Menon,46,Male,Labour,Ballari,false,0.7
120,Meera D'Souza,22,Male,Business,Ballari,false,0.34
121,Sanjay Hegde,27,Female,Business,Udupi,false,0.19
122,Nandini Prasad,19,Male,Farmer,Belagavi,false,0.69
123,Anita D'Souza,30,Female,Private Employee,Tumakuru,false,0.33
124,Kumar Gowda,48,Female,Housewife,Hassan,false,0.69
125,Sunita Pillai,65,Female,Retired,Hassan,false,0.15
126,Vijay Hegde,25,Male,Government Employee,Kalaburagi,false,0.87
127,Rajesh D'Souza,71,Male,Government Employee,Shivamogga,false,0.72
128,Arun Sharma,21,Male,Farmer,Dakshina Kannada,false,0.6
129,Rajesh Patil,32,Male,Student,Dakshina Kannada,false,0.35
130,Patel Murthy,32,Female,Student,Bengaluru Rural,false,0.37
131,Rekha Singh,24,Female,Business,Kalaburagi,false,0.75
132,Nandini Prasad,19,Female,Government Employee,Dharwad,false,0.31
133,Kavita Patel,30,Female,Retired,Udupi,false,0.94
134,Kumar Rao,19,Other,Labour,Kalaburagi,false,0.63
135,Maria Reddy,42,Male,Retired,Dharwad,false,0.97
136,Meera Murthy,55,Female,Government Employee,Bengaluru Urban,false,0.91
137,Joseph Naik,29,Female,Farmer,Dakshina Kannada,false,0.38
138,Rekha Menon,62,Male,Farmer,Dharwad,false,0.92
139,Anita Kumar,39,Female,Farmer,Dakshina Kannada,false,0.9
140,Kavita Pillai,71,Male,Student,Dakshina Kannada,false,0.84
141,Patel D'Souza,66,Female,Private Employee,Udupi,false,0.93
142,Maria Nair,20,Female,Private Employee,Kalaburagi,false,0.83
143,Maria Gowda,45,Female,Housewife,Shivamogga,false,0.68
144,Imran Shetty,13,Male,Business,Bengaluru Rural,false,0.56
145,Ganesh Sharma,71,Female,Retired,Belagavi,false,0.89
146,Joseph Swamy,20,Female,Government Employee,Tumakuru,true,0.43
147,Krishna Swamy,43,Male,Student,Ballari,false,0.66
148,Rajesh Nair,65,Female,Housewife,Bengaluru Urban,false,0.49
149,Meera Patil,19,Female,Business,Bengaluru Urban,false,0.49
150,Krishna Menon,65,Male,Farmer,Udupi,false,0.95
151,Anita Murthy,59,Male,Retired,Tumakuru,false,1
152,Rajesh D'Souza,28,Male,Housewife,Bengaluru Urban,false,0.34
153,Meera Swamy,38,Female,Labour,Bengaluru Rural,true,0.22
154,Sanjay Menon,29,Male,Retired,Udupi,false,0.64
155,Suresh Naik,26,Male,Farmer,Dharwad,false,1
156,Maria Naik,70,Male,Retired,Dakshina Kannada,false,0.7
157,Suresh Swamy,26,Male,Housewife,Ballari,false,0.41
158,Kavita Prasad,33,Male,Government Employee,Bengaluru Rural,false,0.98
159,Patel Singh,39,Female,Government Employee,Dakshina Kannada,false,0.79
160,Ramesh Patil,23,Male,Labour,Mysuru,false,0.93
161,Suresh Rao,45,Male,Farmer,Mysuru,true,0.33
162,Arun Murthy,44,Male,Private Employee,Udupi,false,0.51
163,Anjali Sharma,29,Male,Business,Tumakuru,false,0.26
